cells,steps,density,threads_or_ranks,wall_time
5000000,5000,0.30,4,1.968990
5000000,5000,0.30,4,2.606814
5000000,5000,0.30,4,3.633895
5000000,5000,0.30,4,2.978171
5000000,5000,0.30,4,3.340791
5000000,5000,0.30,4,2.222329
5000000,5000,0.30,4,2.247640
5000000,5000,0.30,4,2.158356
5000000,5000,0.30,4,2.107083
10000000,1000,0.30,4,0.923567
10000000,1000,0.30,4,0.912066
10000000,1000,0.30,4,1.675744
10000000,1000,0.30,4,1.407691
10000000,1000,0.30,4,0.916082
10000000,1000,0.30,4,1.087662
10000000,1000,0.30,4,0.951445
10000000,1000,0.30,4,1.008665
10000000,1000,0.30,4,1.235885
10000000,1000,0.30,4,0.960480
10000000,2000,0.30,4,2.979692
10000000,2000,0.30,4,2.500950
10000000,2000,0.30,4,2.962481
10000000,2000,0.30,4,2.796278
10000000,2000,0.30,4,3.293908
10000000,2000,0.30,4,3.950244
10000000,2000,0.30,4,2.965487
10000000,2000,0.30,4,3.381786
10000000,2000,0.30,4,2.961574
10000000,2000,0.30,4,3.353920
10000000,3000,0.30,4,4.866783
10000000,3000,0.30,4,4.469853
10000000,3000,0.30,4,4.694080
10000000,3000,0.30,4,3.987327
10000000,3000,0.30,4,5.093420
10000000,3000,0.30,4,6.650478
10000000,3000,0.30,4,5.053121
10000000,3000,0.30,4,5.442390
10000000,3000,0.30,4,3.336727
10000000,3000,0.30,4,3.933021
10000000,4000,0.30,4,4.912786
10000000,4000,0.30,4,8.757092
10000000,4000,0.30,4,5.996018
10000000,4000,0.30,4,8.627122
10000000,4000,0.30,4,6.249938
10000000,4000,0.30,4,6.993942
10000000,4000,0.30,4,4.574829
10000000,4000,0.30,4,5.501949
10000000,4000,0.30,4,5.622016
10000000,4000,0.30,4,6.073405
10000000,5000,0.30,4,8.145275
10000000,5000,0.30,4,7.902416
10000000,5000,0.30,4,8.236907
10000000,5000,0.30,4,7.335042
10000000,5000,0.30,4,6.610142
10000000,5000,0.30,4,7.699954
10000000,5000,0.30,4,6.665656
10000000,5000,0.30,4,7.474433
10000000,5000,0.30,4,4.766958
10000000,5000,0.30,4,4.483909
15000000,1000,0.30,4,1.498536
15000000,1000,0.30,4,1.665190
15000000,1000,0.30,4,1.500685
15000000,1000,0.30,4,1.554053
15000000,1000,0.30,4,1.389462
15000000,1000,0.30,4,1.611018
15000000,1000,0.30,4,1.601402
15000000,1000,0.30,4,1.648710
15000000,1000,0.30,4,1.831320
15000000,1000,0.30,4,1.502980
15000000,2000,0.30,4,3.188373
15000000,2000,0.30,4,2.958858
15000000,2000,0.30,4,2.979074
15000000,2000,0.30,4,4.314886
15000000,2000,0.30,4,2.948488
15000000,2000,0.30,4,2.851315
15000000,2000,0.30,4,2.940266
15000000,2000,0.30,4,2.841803
15000000,2000,0.30,4,4.607738
15000000,2000,0.30,4,3.296329
15000000,3000,0.30,4,4.558732
15000000,3000,0.30,4,4.284293
15000000,3000,0.30,4,4.685024
15000000,3000,0.30,4,4.452948
15000000,3000,0.30,4,4.428202
15000000,3000,0.30,4,6.651725
15000000,3000,0.30,4,4.388457
15000000,3000,0.30,4,6.074110
15000000,3000,0.30,4,8.443035
15000000,3000,0.30,4,4.319565
15000000,4000,0.30,4,6.196627
15000000,4000,0.30,4,6.140008
15000000,4000,0.30,4,6.933363
15000000,4000,0.30,4,7.566519
15000000,4000,0.30,4,5.991172
15000000,4000,0.30,4,9.183624
15000000,4000,0.30,4,9.822738
15000000,4000,0.30,4,9.555568
15000000,4000,0.30,4,6.273038
15000000,4000,0.30,4,6.403364
15000000,5000,0.30,4,7.785886
15000000,5000,0.30,4,11.694276
15000000,5000,0.30,4,7.926915
15000000,5000,0.30,4,12.526326
15000000,5000,0.30,4,10.691243
15000000,5000,0.30,4,7.179727
15000000,5000,0.30,4,11.219201
15000000,5000,0.30,4,7.568061
15000000,5000,0.30,4,8.269618
15000000,5000,0.30,4,7.313380
20000000,1000,0.30,4,1.988884
20000000,1000,0.30,4,2.394046
20000000,1000,0.30,4,2.627720
20000000,1000,0.30,4,2.139218
20000000,1000,0.30,4,1.991127
20000000,1000,0.30,4,1.958943
20000000,1000,0.30,4,1.965324
20000000,1000,0.30,4,1.984186
20000000,1000,0.30,4,1.935701
20000000,1000,0.30,4,1.955834
20000000,2000,0.30,4,3.937094
20000000,2000,0.30,4,4.081685
20000000,2000,0.30,4,4.030978
20000000,2000,0.30,4,4.011066
20000000,2000,0.30,4,4.449160
20000000,2000,0.30,4,3.942456
20000000,2000,0.30,4,3.978498
20000000,2000,0.30,4,4.015407
20000000,2000,0.30,4,3.912891
20000000,2000,0.30,4,3.989389
20000000,3000,0.30,4,8.226406
20000000,3000,0.30,4,5.903186
20000000,3000,0.30,4,5.931274
20000000,3000,0.30,4,6.281193
20000000,3000,0.30,4,10.702099
20000000,3000,0.30,4,5.972885
20000000,3000,0.30,4,5.981156
20000000,3000,0.30,4,6.249301
20000000,3000,0.30,4,5.853914
20000000,3000,0.30,4,5.864015
20000000,4000,0.30,4,15.777141
20000000,4000,0.30,4,9.729241
20000000,4000,0.30,4,9.085534
20000000,4000,0.30,4,8.798302
20000000,4000,0.30,4,10.208939
20000000,4000,0.30,4,9.930286
20000000,4000,0.30,4,14.825156
20000000,4000,0.30,4,9.945963
20000000,4000,0.30,4,9.850776
20000000,4000,0.30,4,8.316641
20000000,5000,0.30,4,9.969811
20000000,5000,0.30,4,12.483469
20000000,5000,0.30,4,13.938215
20000000,5000,0.30,4,13.936064
