cells,steps,density,threads_or_ranks,wall_time
10000000,2000,0.30,1,39.648182
10000000,2000,0.30,1,38.381712
10000000,2000,0.30,1,38.305495
10000000,2000,0.30,1,38.258975
10000000,2000,0.30,1,37.032779
10000000,2000,0.30,1,38.386035
10000000,2000,0.30,1,39.291178
10000000,3000,0.30,1,57.171667
10000000,3000,0.30,1,59.307169
10000000,3000,0.30,1,59.091222
10000000,3000,0.30,1,55.534670
10000000,3000,0.30,1,57.397633
10000000,3000,0.30,1,59.278363
10000000,3000,0.30,1,59.200271
10000000,3000,0.30,1,57.163853
10000000,3000,0.30,1,57.279647
10000000,3000,0.30,1,59.134623
10000000,4000,0.30,1,76.431712
10000000,4000,0.30,1,76.457840
10000000,4000,0.30,1,76.171351
10000000,4000,0.30,1,75.362274
10000000,4000,0.30,1,78.600528
10000000,4000,0.30,1,78.540628
10000000,4000,0.30,1,76.163650
10000000,4000,0.30,1,78.563743
10000000,4000,0.30,1,78.412525
10000000,4000,0.30,1,74.647400
10000000,5000,0.30,1,95.146169
10000000,5000,0.30,1,95.185504
10000000,5000,0.30,1,95.278979
10000000,5000,0.30,1,92.490817
10000000,5000,0.30,1,98.441449
10000000,5000,0.30,1,94.899299
10000000,5000,0.30,1,98.080713
10000000,5000,0.30,1,97.674513
10000000,5000,0.30,1,98.095655
10000000,5000,0.30,1,94.748516
15000000,1000,0.30,1,28.932061
15000000,1000,0.30,1,28.549872
15000000,1000,0.30,1,28.704200
15000000,1000,0.30,1,29.808058
15000000,1000,0.30,1,28.631035
15000000,1000,0.30,1,29.728247
15000000,1000,0.30,1,28.545837
15000000,1000,0.30,1,28.680491
15000000,1000,0.30,1,29.754980
15000000,1000,0.30,1,27.767085
15000000,2000,0.30,1,57.254487
15000000,2000,0.30,1,59.121733
15000000,2000,0.30,1,59.127774
15000000,2000,0.30,1,57.132599
15000000,2000,0.30,1,57.037754
15000000,2000,0.30,1,59.116512
15000000,2000,0.30,1,59.113949
15000000,2000,0.30,1,56.954721
15000000,2000,0.30,1,55.499893
15000000,2000,0.30,1,57.687606
15000000,3000,0.30,1,85.572433
15000000,3000,0.30,1,84.691166
15000000,3000,0.30,1,85.820477
15000000,3000,0.30,1,86.332909
15000000,3000,0.30,1,86.073780
15000000,3000,0.30,1,85.890980
15000000,3000,0.30,1,85.596023
15000000,3000,0.30,1,85.830475
15000000,3000,0.30,1,88.362613
15000000,3000,0.30,1,88.385473
15000000,4000,0.30,1,114.881810
15000000,4000,0.30,1,114.205239
15000000,4000,0.30,1,114.269896
15000000,4000,0.30,1,114.313119
15000000,4000,0.30,1,110.968392
15000000,4000,0.30,1,116.593964
15000000,4000,0.30,1,117.462873
15000000,4000,0.30,1,111.010187
15000000,4000,0.30,1,114.523112
15000000,4000,0.30,1,117.764611
15000000,5000,0.30,1,143.482068
15000000,5000,0.30,1,142.631572
15000000,5000,0.30,1,138.841493
15000000,5000,0.30,1,142.598136
15000000,5000,0.30,1,146.667717
15000000,5000,0.30,1,146.197736
15000000,5000,0.30,1,143.899482
15000000,5000,0.30,1,144.730313
15000000,5000,0.30,1,143.447919
15000000,5000,0.30,1,142.667885
20000000,1000,0.30,1,40.194010
20000000,1000,0.30,1,38.201277
20000000,1000,0.30,1,38.295627
20000000,1000,0.30,1,38.314223
20000000,1000,0.30,1,38.309374
20000000,1000,0.30,1,38.292101
20000000,1000,0.30,1,38.279168
20000000,1000,0.30,1,39.689049
20000000,1000,0.30,1,39.548389
20000000,1000,0.30,1,37.579837
20000000,2000,0.30,1,75.406237
20000000,2000,0.30,1,74.359092
20000000,2000,0.30,1,78.709698
20000000,2000,0.30,1,76.371322
20000000,2000,0.30,1,78.847106
20000000,2000,0.30,1,76.081592
20000000,2000,0.30,1,76.172707
20000000,2000,0.30,1,76.150685
20000000,2000,0.30,1,78.610424
20000000,2000,0.30,1,76.289163
20000000,3000,0.30,1,114.004983
20000000,3000,0.30,1,117.307436
20000000,3000,0.30,1,113.872579
20000000,3000,0.30,1,117.649703
20000000,3000,0.30,1,113.874982
20000000,3000,0.30,1,114.008168
20000000,3000,0.30,1,114.136463
20000000,3000,0.30,1,114.370500
20000000,3000,0.30,1,114.552437
20000000,3000,0.30,1,111.468600
20000000,4000,0.30,1,152.454035
20000000,4000,0.30,1,152.132448
20000000,4000,0.30,1,152.223567
20000000,4000,0.30,1,152.275798
20000000,4000,0.30,1,152.748294
20000000,4000,0.30,1,151.779123
20000000,4000,0.30,1,152.562311
20000000,4000,0.30,1,151.927069
20000000,4000,0.30,1,152.138432
20000000,4000,0.30,1,152.216507
20000000,5000,0.30,1,194.540567
20000000,5000,0.30,1,189.551723
20000000,5000,0.30,1,189.856538
20000000,5000,0.30,1,189.697956
20000000,5000,0.30,1,189.928299
20000000,5000,0.30,1,189.810010
20000000,5000,0.30,1,187.109119
20000000,5000,0.30,1,189.873291
20000000,5000,0.30,1,189.754295
20000000,5000,0.30,1,189.623747
