cells,steps,density,threads_or_ranks,wall_time
20000000,3000,0.30,4,59.170550
20000000,3000,0.30,4,58.834997
20000000,3000,0.30,4,57.365318
20000000,4000,0.30,4,78.715143
20000000,4000,0.30,4,77.496413
20000000,4000,0.30,4,85.074105
20000000,4000,0.30,4,83.281756
20000000,4000,0.30,4,77.231849
20000000,4000,0.30,4,77.742781
20000000,4000,0.30,4,84.306593
20000000,4000,0.30,4,77.729896
20000000,4000,0.30,4,77.459509
20000000,4000,0.30,4,78.087774
20000000,5000,0.30,4,96.534440
20000000,5000,0.30,4,97.558456
20000000,5000,0.30,4,96.643229
20000000,5000,0.30,4,97.315581
20000000,5000,0.30,4,109.879310
20000000,5000,0.30,4,118.258161
20000000,5000,0.30,4,111.217595
20000000,5000,0.30,4,118.419510
20000000,5000,0.30,4,95.817114
20000000,5000,0.30,4,95.791669
10000000,500,0.30,4,4.794320
10000000,500,0.30,4,4.809863
10000000,500,0.30,4,4.716907
10000000,500,0.30,4,4.808787
10000000,500,0.30,4,4.726662
10000000,500,0.30,4,4.727915
10000000,500,0.30,4,4.773418
10000000,500,0.30,4,4.756251
10000000,500,0.30,4,4.724004
10000000,500,0.30,4,4.802759
