Archivo,Ejecución,Tamaño,Tiempo (s)
6hilos.doc,55,1000x1000,1.1171
6hilos.doc,56,1500x1500,4.2791
6hilos.doc,57,2000x2000,12.3466
6hilos.doc,58,2500x2500,23.6762
6hilos.doc,59,3000x3000,45.6085
6hilos.doc,60,3500x3500,66.1539
6hilos.doc,61,4000x4000,113.2300
6hilos.doc,62,4500x4500,145.5573
6hilos.doc,63,5000x5000,229.6631
6hilos.doc,64,1000x1000,1.0642
6hilos.doc,65,1500x1500,4.5538
6hilos.doc,66,2000x2000,12.2424
6hilos.doc,67,2500x2500,23.8433
6hilos.doc,68,3000x3000,46.1164
6hilos.doc,69,3500x3500,68.9500
6hilos.doc,70,4000x4000,112.7689
6hilos.doc,71,4500x4500,148.8081
6hilos.doc,72,5000x5000,225.9037
6hilos.doc,73,1000x1000,1.0985
6hilos.doc,74,1500x1500,4.3405
6hilos.doc,75,2000x2000,12.3060
6hilos.doc,76,2500x2500,23.3243
6hilos.doc,77,3000x3000,45.6405
6hilos.doc,78,3500x3500,66.2346
6hilos.doc,79,4000x4000,113.8153
6hilos.doc,80,4500x4500,150.5428
6hilos.doc,81,5000x5000,224.2141
6hilos.doc,82,1000x1000,1.0887
6hilos.doc,83,1500x1500,4.3499
6hilos.doc,84,2000x2000,12.2374
6hilos.doc,85,2500x2500,23.2805
6hilos.doc,86,3000x3000,45.3030
6hilos.doc,87,3500x3500,66.0443
6hilos.doc,88,4000x4000,112.1627
6hilos.doc,89,4500x4500,147.9189
6procesos.doc,1,1000x1000,0.8421
6procesos.doc,2,1500x1500,3.1047
6procesos.doc,3,2000x2000,6.8925
6procesos.doc,4,2500x2500,17.0738
6procesos.doc,5,3000x3000,27.5916
6procesos.doc,6,3500x3500,49.3942
6procesos.doc,7,4000x4000,66.8123
6procesos.doc,8,4500x4500,107.7644
6procesos.doc,9,5000x5000,137.5353
6procesos.doc,10,1000x1000,0.8414
6procesos.doc,11,1500x1500,3.0644
6procesos.doc,12,2000x2000,7.0796
6procesos.doc,13,2500x2500,17.3575
6procesos.doc,14,3000x3000,27.5032
6procesos.doc,15,3500x3500,49.9255
6procesos.doc,16,4000x4000,66.0030
6procesos.doc,17,4500x4500,116.1272
6procesos.doc,18,5000x5000,136.4886
6procesos.doc,19,1000x1000,0.9778
6procesos.doc,20,1500x1500,3.1333
6procesos.doc,21,2000x2000,6.9016
6procesos.doc,22,2500x2500,17.3996
6procesos.doc,23,3000x3000,27.4811
6procesos.doc,24,3500x3500,49.1909
6procesos.doc,25,4000x4000,66.4538
6procesos.doc,26,4500x4500,105.4986
6procesos.doc,27,5000x5000,135.7349
6procesos.doc,28,1000x1000,0.8684
6procesos.doc,29,1500x1500,3.2390
6procesos.doc,30,2000x2000,7.2135
6procesos.doc,31,2500x2500,16.9366
6procesos.doc,32,3000x3000,27.5818
6procesos.doc,33,3500x3500,49.3176
6procesos.doc,34,4000x4000,65.7258
6procesos.doc,35,4500x4500,106.6576
6procesos.doc,36,5000x5000,135.8648
6procesos.doc,37,1000x1000,0.9201
6procesos.doc,38,1500x1500,3.0377
6procesos.doc,39,2000x2000,6.9118
6procesos.doc,40,2500x2500,16.9358
6procesos.doc,41,3000x3000,27.9322
6procesos.doc,42,3500x3500,48.8543
6procesos.doc,43,4000x4000,65.5734
6procesos.doc,44,4500x4500,105.8989
6procesos.doc,45,5000x5000,136.0452
6procesos.doc,46,1000x1000,0.8142
6procesos.doc,47,1500x1500,3.0478
6procesos.doc,48,2000x2000,6.8174
6procesos.doc,49,2500x2500,16.9090
6procesos.doc,50,3000x3000,27.4461
6procesos.doc,51,3500x3500,49.0934
6procesos.doc,52,4000x4000,66.2573
6procesos.doc,53,4500x4500,105.6212
6procesos.doc,54,5000x5000,135.4157
6procesos.doc,55,1000x1000,0.9300
6procesos.doc,56,1500x1500,3.2107
6procesos.doc,57,2000x2000,7.0457
6procesos.doc,58,2500x2500,17.2074
6procesos.doc,59,3000x3000,27.4170
6procesos.doc,60,3500x3500,49.1546
6procesos.doc,61,4000x4000,65.7865
6procesos.doc,62,4500x4500,105.8576
6procesos.doc,63,5000x5000,135.6393
6procesos.doc,64,1000x1000,0.8435
6procesos.doc,65,1500x1500,3.0480
6procesos.doc,66,2000x2000,6.8457
6procesos.doc,67,2500x2500,17.2762
6procesos.doc,68,3000x3000,27.3014
6procesos.doc,69,3500x3500,49.0137
6procesos.doc,70,4000x4000,65.5073
6procesos.doc,71,4500x4500,107.0529
6procesos.doc,72,5000x5000,136.1922
6procesos.doc,73,1000x1000,0.9625
6procesos.doc,74,1500x1500,3.3100
6procesos.doc,75,2000x2000,6.9730
6procesos.doc,76,2500x2500,16.9050
6procesos.doc,77,3000x3000,27.8292
6procesos.doc,78,3500x3500,49.5646
6procesos.doc,79,4000x4000,65.6837
6procesos.doc,80,4500x4500,106.4591
6procesos.doc,81,5000x5000,134.9799
6procesos.doc,82,1000x1000,0.8655
6procesos.doc,83,1500x1500,3.0292
6procesos.doc,84,2000x2000,6.9120
6procesos.doc,85,2500x2500,16.8832
6procesos.doc,86,3000x3000,27.4875
6procesos.doc,87,3500x3500,49.7861
6procesos.doc,88,4000x4000,64.8868
6procesos.doc,89,4500x4500,104.7159
6procesos.doc,90,5000x5000,134.5018
8hilos.doc,1,1000x1000,1.0870
8hilos.doc,2,1500x1500,4.2922
8hilos.doc,3,2000x2000,12.1060
8hilos.doc,4,2500x2500,21.9784
8hilos.doc,5,3000x3000,44.1832
8hilos.doc,6,3500x3500,62.3125
8hilos.doc,7,4000x4000,108.3658
8hilos.doc,8,4500x4500,143.0793
8hilos.doc,9,5000x5000,216.6861
8hilos.doc,10,1000x1000,1.0863
8hilos.doc,11,1500x1500,4.3244
8hilos.doc,12,2000x2000,12.2324
8hilos.doc,13,2500x2500,22.0815
8hilos.doc,14,3000x3000,44.4233
8hilos.doc,15,3500x3500,62.3030
8hilos.doc,16,4000x4000,108.8921
8hilos.doc,17,4500x4500,142.2639
8hilos.doc,18,5000x5000,215.4139
8hilos.doc,19,1000x1000,1.0964
8hilos.doc,20,1500x1500,4.3531
8hilos.doc,21,2000x2000,12.1860
8hilos.doc,22,2500x2500,22.1056
8hilos.doc,23,3000x3000,44.1421
8hilos.doc,24,3500x3500,62.6785
8hilos.doc,25,4000x4000,108.1413
8hilos.doc,26,4500x4500,141.5649
8hilos.doc,27,5000x5000,214.8050
8hilos.doc,28,1000x1000,1.0990
8hilos.doc,29,1500x1500,4.3199
8hilos.doc,30,2000x2000,12.1762
8hilos.doc,31,2500x2500,21.9972
8hilos.doc,32,3000x3000,44.1262
8hilos.doc,33,3500x3500,62.1065
8hilos.doc,34,4000x4000,107.8128
8hilos.doc,35,4500x4500,142.4976
8hilos.doc,36,5000x5000,215.5814
8hilos.doc,37,1000x1000,1.0638
8hilos.doc,38,1500x1500,4.3087
8hilos.doc,39,2000x2000,12.1204
8hilos.doc,40,2500x2500,21.9270
8hilos.doc,41,3000x3000,44.0362
8hilos.doc,42,3500x3500,62.3252
8hilos.doc,43,4000x4000,107.6413
8hilos.doc,44,4500x4500,142.3368
8hilos.doc,45,5000x5000,214.6184
8hilos.doc,46,1000x1000,1.1156
8hilos.doc,47,1500x1500,4.4436
8hilos.doc,48,2000x2000,12.3038
8hilos.doc,49,2500x2500,22.3811
8hilos.doc,50,3000x3000,44.3685
8hilos.doc,51,3500x3500,62.2833
8hilos.doc,52,4000x4000,107.5651
8hilos.doc,53,4500x4500,141.1211
8hilos.doc,54,5000x5000,217.3996
8hilos.doc,55,1000x1000,1.0953
8hilos.doc,56,1500x1500,4.2753
8hilos.doc,57,2000x2000,11.7064
8hilos.doc,58,2500x2500,20.8161
8hilos.doc,59,3000x3000,38.5685
8hilos.doc,60,3500x3500,57.6504
