Archivo,Ejecución,Tamaño,Tiempo (s)
standar.doc,76,2500x2500,117.6642
standar.doc,77,3000x3000,207.6710
standar.doc,78,3500x3500,307.1361
standar.doc,79,4000x4000,509.9913
standar.doc,80,4500x4500,732.7261
standar.doc,81,5000x5000,869.3165
standar.doc,82,1000x1000,4.4221
standar.doc,83,1500x1500,18.2506
standar.doc,84,2000x2000,57.7394
standar.doc,85,2500x2500,117.6873
standar.doc,86,3000x3000,207.7954
standar.doc,87,3500x3500,306.5473
standar.doc,88,4000x4000,506.4116
standar.doc,89,4500x4500,729.6171
standar.doc,90,5000x5000,807.9537
standar.doc,91,1000x1000,4.3490
standar.doc,92,1500x1500,18.9362
standar.doc,93,2000x2000,57.6795
standar.doc,94,2500x2500,117.3271
standar.doc,95,3000x3000,207.6239
standar.doc,96,3500x3500,304.7591
standar.doc,97,4000x4000,507.3912
standar.doc,98,4500x4500,701.1317
standar.doc,99,5000x5000,996.0688
